subfield_id,field_id,name_en,slug,paper_count_total
orthopedics_and_sports_medicine,medicine,Orthopedics and Sports Medicine,orthopedics-and-sports-medicine,85344
language_and_linguistics,arts_and_humanities,Language and Linguistics,language-and-linguistics,84972
statistical_and_nonlinear_physics,physics_and_astronomy,Statistical and Nonlinear Physics,statistical-and-nonlinear-physics,84148
insect_science,agricultural_and_biological_sciences,Insect Science,insect-science,83634
philosophy,arts_and_humanities,Philosophy,philosophy,80719
finance,economics_econometrics_and_finance,Finance,finance,80080
oceanography,earth_and_planetary_sciences,Oceanography,oceanography,79245
gender_studies,social_sciences,Gender Studies,gender-studies,79153
nature_and_landscape_conservation,environmental_science,Nature and Landscape Conservation,nature-and-landscape-conservation,78497
agronomy_and_crop_science,agricultural_and_biological_sciences,Agronomy and Crop Science,agronomy-and-crop-science,77840
applied_mathematics,mathematics,Applied Mathematics,applied-mathematics,77130
demography,social_sciences,Demography,demography,76786
reproductive_medicine,medicine,Reproductive Medicine,reproductive-medicine,75112
animal_science_and_zoology,agricultural_and_biological_sciences,Animal Science and Zoology,animal-science-and-zoology,74005
neurology,neuroscience,Neurology,neurology,73815
marketing,business_management_and_accounting,Marketing,marketing,73804
nephrology,medicine,Nephrology,nephrology,72885
management_information_systems,business_management_and_accounting,Management Information Systems,management-information-systems,71571
emergency_medicine,medicine,Emergency Medicine,emergency-medicine,70847
law,social_sciences,Law,law,70585
statistics_and_probability,mathematics,Statistics and Probability,statistics-and-probability,70323
spectroscopy,chemistry,Spectroscopy,spectroscopy,70102
complementary_and_alternative_medicine,medicine,Complementary and alternative medicine,complementary-and-alternative-medicine,70091
hepatology,medicine,Hepatology,hepatology,69946
soil_science,agricultural_and_biological_sciences,Soil Science,soil-science,69742
dermatology,medicine,Dermatology,dermatology,69475
condensed_matter_physics,physics_and_astronomy,Condensed Matter Physics,condensed-matter-physics,68093
history,arts_and_humanities,History,history,66692
cultural_studies,social_sciences,Cultural Studies,cultural-studies,66378
archeology,arts_and_humanities,Archeology,archeology,64796
general_economics_econometrics_and_finance,economics_econometrics_and_finance,"General Economics, Econometrics and Finance",general-economics-econometrics-and-finance,61604
anthropology,social_sciences,Anthropology,anthropology,61484
management_of_technology_and_innovation,business_management_and_accounting,Management of Technology and Innovation,management-of-technology-and-innovation,60784
media_technology,engineering,Media Technology,media-technology,60356
communication,social_sciences,Communication,communication,59868
oral_surgery,dentistry,Oral Surgery,oral-surgery,59254
general_agricultural_and_biological_sciences,agricultural_and_biological_sciences,General Agricultural and Biological Sciences,general-agricultural-and-biological-sciences,59046
safety_research,social_sciences,Safety Research,safety-research,58382
environmental_chemistry,environmental_science,Environmental Chemistry,environmental-chemistry,58280
rehabilitation,medicine,Rehabilitation,rehabilitation,55257
geometry_and_topology,mathematics,Geometry and Topology,geometry-and-topology,54641
emergency_medical_services,health_professions,Emergency Medical Services,emergency-medical-services,54078
pharmacology,pharmacology_toxicology_and_pharmaceutics,Pharmacology,pharmacology,53823
molecular_medicine,biochemistry_genetics_and_molecular_biology,Molecular Medicine,molecular-medicine,51150
analytical_chemistry,chemistry,Analytical Chemistry,analytical-chemistry,49583
modeling_and_simulation,mathematics,Modeling and Simulation,modeling-and-simulation,48779
parasitology,immunology_and_microbiology,Parasitology,parasitology,47470
aquatic_science,agricultural_and_biological_sciences,Aquatic Science,aquatic-science,47377
information_systems_and_management,decision_sciences,Information Systems and Management,information-systems-and-management,46728
industrial_and_manufacturing_engineering,environmental_science,Industrial and Manufacturing Engineering,industrial-and-manufacturing-engineering,46567
signal_processing,computer_science,Signal Processing,signal-processing,46183
safety_risk_reliability_and_quality,engineering,"Safety, Risk, Reliability and Quality",safety-risk-reliability-and-quality,45647
periodontics,dentistry,Periodontics,periodontics,45597
radiation,physics_and_astronomy,Radiation,radiation,45098
transportation,social_sciences,Transportation,transportation,43277
biotechnology,biochemistry_genetics_and_molecular_biology,Biotechnology,biotechnology,42792
mathematical_physics,mathematics,Mathematical Physics,mathematical-physics,42687
statistics_probability_and_uncertainty,decision_sciences,"Statistics, Probability and Uncertainty",statistics-probability-and-uncertainty,41896
paleontology,earth_and_planetary_sciences,Paleontology,paleontology,41873
history_and_philosophy_of_science,arts_and_humanities,History and Philosophy of Science,history-and-philosophy-of-science,41499
microbiology,immunology_and_microbiology,Microbiology,microbiology,41393
speech_and_hearing,health_professions,Speech and Hearing,speech-and-hearing,41295
gastroenterology,medicine,Gastroenterology,gastroenterology,40894
pharmaceutical_science,pharmacology_toxicology_and_pharmaceutics,Pharmaceutical Science,pharmaceutical-science,40783
urology,medicine,Urology,urology,39653
geriatrics_and_gerontology,medicine,Geriatrics and Gerontology,geriatrics-and-gerontology,38689
small_animals,veterinary,Small Animals,small-animals,38594
urban_studies,social_sciences,Urban Studies,urban-studies,38001
orthodontics,dentistry,Orthodontics,orthodontics,37910
biochemistry,medicine,Biochemistry,biochemistry,36468
visual_arts_and_performing_arts,arts_and_humanities,Visual Arts and Performing Arts,visual-arts-and-performing-arts,36289
computer_science_applications,computer_science,Computer Science Applications,computer-science-applications,35984
physical_therapy_sports_therapy_and_rehabilitation,health_professions,"Physical Therapy, Sports Therapy and Rehabilitation",physical-therapy-sports-therapy-and-rehabilitation,35618
biophysics,biochemistry_genetics_and_molecular_biology,Biophysics,biophysics,35445
critical_care_and_intensive_care_medicine,medicine,Critical Care and Intensive Care Medicine,critical-care-and-intensive-care-medicine,35394
geography_planning_and_development,social_sciences,"Geography, Planning and Development",geography-planning-and-development,34947
catalysis,chemical_engineering,Catalysis,catalysis,34834
otorhinolaryngology,medicine,Otorhinolaryngology,otorhinolaryngology,33658
surfaces_coatings_and_films,materials_science,"Surfaces, Coatings and Films",surfaces-coatings-and-films,33008
human_computer_interaction,computer_science,Human-Computer Interaction,human-computer-interaction,32252
